shortcode,emoji
🚟 🚃 🚋 🚞 🚝 🚄 🚅 🚈 🚂 🚆 🚇 🚊 🚉 ✈️ 🛫 🛬 🛩 💺 🛰 🚀 🛸 🚁 🛶 ⛵️ 🚤 🛥 🛳 ⛴ 🚢 ⚓️ 🛟 🪝 ⛽️ 🚧 🚦 🚥 🚏 🗺 🗿 🗽 🗼 🏰 🏯 🏟 🎡 🎢 🛝 🎠 ⛲️ ⛱ 🏖 🏝 🏜 🌋 ⛰ 🏔 🗻 🏕 ⛺️ 🛖 🏠 🏡 🏘 🏚 🏗 🏭 🏢 🏬 🏣 🏤 🏥 🏦 🏨 🏪 🏫 🏩 💒 🏛 ⛪️ 🕌 🕍 🛕 🕋 ⛩ 🛤 🛣 🗾 🎑 🏞 🌅 🌄 🌠 🎇 🎆 🌇 🌆 🏙 🌃 🌌 🌉 🌁 ⌚️ 📱 📲 💻 ⌨️ 🖥 🖨 🖱 🖲 🕹 🗜 💽 💾 💿 📀 📼 📷 📸 📹 🎥 📽 🎞 📞 ☎️ 📟 📠 📺 📻 🎙 🎚 🎛 🧭 ⏱ ⏲ ⏰ 🕰 ⌛️ ⏳ 📡 🔋 🪫 🔌 💡 🔦 🕯 🪔 🧯 🛢 💸 💵 💴 💶 💷 🪙 💰 💳 💎 ⚖️ 🪜 🧰 🪛 🔧 🔨 ⚒ 🛠 ⛏ 🪚 🔩 ⚙️ 🪤 🧱 ⛓ 🧲 🔫 💣 🧨 🪓 🔪 🗡 ⚔️ 🛡 🚬 ⚰️ 🪦 ⚱️ 🏺 🔮 📿 🧿 🪬 💈 ⚗️ 🔭 🔬 🕳 🩹 🩺 🩻 🩼 💊 💉 🩸 🧬 🦠 🧫 🧪 🌡 🧹 🪠 🧺 🧻 🚽 🚰 🚿 🛁 🛀 🧼 🪥 🪒 🧽 🪣 🧴 🛎 🔑 🗝 🚪 🪑 🛋 🛏 🛌 🧸 🪆 🖼 🪞 🪟 🛍 🛒 🎁 🎈 🎏 🎀 🪄 🪅 🎊 🎉 🪩 🎎 🏮 🎐 🧧 ✉️ 📩 📨 📧 💌 📥 📤 📦 🏷 🪧 📪 📫 📬 📭 📮 📯 📜 📃 📄 📑 🧾 📊 📈 📉 🗒 🗓 📆 📅 🗑 🪪 📇 🗃 🗳 🗄 📋 📁 📂 🗂 🗞 📰 📓 📔 📒 📕 📗 📘 📙 📚 📖 🔖 🧷 🔗 📎 🖇 📐 📏 🧮 📌 📍 ✂️ 🖊 🖋 ✒️ 🖌 🖍 📝 ✏️ 🔍 🔎 🔏 🔐 🔒 🔓 ❤️ 🧡 💛 💚 💙 💜 🖤 🤍 🤎 ❤️‍🔥 ❤️‍🩹 💔 ❣️ 💕 💞 💓 💗 💖 💘 💝 💟 ☮️ ✝️ ☪️ 🕉 ☸️ ✡️ 🔯 🕎 ☯️ ☦️ 🛐 ⛎ ♈️ ♉️ ♊️ ♋️ ♌️ ♍️ ♎️ ♏️ ♐️ ♑️ ♒️ ♓️ 🆔 ⚛️ 🉑 ☢️ ☣️ 📴 📳 🈶 🈚️ 🈸 🈺 🈷️ ✴️ 🆚 💮 🉐 ㊙️ ㊗️ 🈴 🈵 🈹 🈲 🅰️ 🅱️ 🆎 🆑 🅾️ 🆘 ❌ ⭕️ 🛑 ⛔️ 📛 🚫 💯 💢 ♨️ 🚷 🚯 🚳 🚱 🔞 📵 🚭 ❗️ ❕ ❓ ❔ ‼️ ⁉️ 🔅 🔆 〽️ ⚠️ 🚸 🔱 ⚜️ 🔰 ♻️ ✅ 🈯️ 💹 ❇️ ✳️ ❎ 🌐 💠 Ⓜ️ 🌀 💤 🏧 🚾 ♿️ 🅿️ 🛗 🈳 🈂️ 🛂 🛃 🛄 🛅 🚹 🚺 🚼 ⚧ 🚻 🚮 🎦 📶 🈁 🔣 
i,ℹ️
info,ℹ️
abc,🔤
letters,🔤
abcd,🔡
lower_letters,🔡
ABCD,🔠
upper_letters,🔠
ng,🆖
ok,🆗
up,🆙
up!,🆙
cool,🆒
new,🆕
free,🆓
0,0️⃣
1,1️⃣
2,2️⃣
3,3️⃣
4,4️⃣
5,5️⃣
6,6️⃣
7,7️⃣
8,8️⃣
9,9️⃣
10,🔟
1234,🔢
numbers,🔢
#,#️⃣
hash,#️⃣
*,*️⃣
asterisk,*️⃣
⏏️ ▶️ ⏸ ⏯ ⏹ ⏺ ⏭ ⏮ ⏩ ⏪ ⏫ ⏬ ◀️ 🔼 🔽 ➡️ ⬅️ ⬆️ ⬇️ ↗️ ↘️ ↙️ ↖️ ↕️ ↔️ ↪️ ↩️ ⤴️ ⤵️ 🔀 🔁 🔂 🔄 🔃 🎵 🎶 
add,➕
plus,➕
subtract,➖
minus,➖
devide,➗
multiply,✖️
times,✖️
sum,🟰
equals,🟰
inf,♾
infinity,♾
endless,♾
dollar,💲
currency_exchange,💱
tm,™️
trademark,™️
copy,©️
registered,®️
un_113〰️
un_114,➰
un_115,➿
end,🔚
back,🔙
on,🔛
top,🔝
soon,🔜
check,✔️
box_check,☑️
radio_button,🔘
red_circle,🔴
orange_circle,🟠
yellow_circle,🟡
green_circle,🟢
blue_circle,🔵
violet_circle,🟣
black_circle,⚫️
white_circle,⚪️
brown_circle,🟤
red_arrow_up,🔺
red_arrow_down,🔻
small_orange_diamond,🔸
small_blue_diamond,🔹
large_orange_diamond,🔶
large_blue_diamond,🔷
black_with_white_outline,🔳
white_with_black_outline,🔲
un_141,▪️
un_142,▫️
un_143,◾️
un_144,◽️
un_145,◼️
un_146,◻️
red_square,🟥
orange_square,🟧
yellow_square,🟨
green_square,🟩
blue_square,🟦
violet_square,🟪
black_square,⬛️
white_square,⬜️
brown_square,🟫
speaker,🔈
speaker_off,🔇
speaker_low,🔉
speaker_loud,🔊
bell,🔔
bell_off,🔕
megaphone,📣
megaphone_2,📢
eye_speech_bubble,👁‍🗨
speec_bubble,💬
thought_bubble,💭
shout_bubble,🗯
spade,♠️
club,♣️
heart,♥️
diamond,♦️
joker,🃏
sunrise_kingdom,🎴
mahjong,🀄️
time_0100,🕐
time_0200,🕑
time_0300,🕒
time_0400,🕓
time_0500,🕔
